ContainerElementName,Operator,New or Modified
Scores_InDateRange_Ref,SpecLatticeSourceTable,New
Q_Scores_InDateRange,SpecLatticeQuery,New
Q_Scores_InDateRange_Test,SpecLatticeQuery,New
Version,SpecLatticeFunction,Modified
Scores_InDateRange_Test,SpecLatticeSourceTable,New
Q_PLS_Scoring_Bulk_ScoresInDateRange,SpecLatticeQuery,New
Scores_InDateRange_Test_Import,SpecLatticeImportTable,New
Binder_I2S_T_Scores_InDateRange_Ref_Import_Scores_InDateRange_Ref,SpecLatticeBinder,New
Binder_I2S_T_Scores_InDateRange_Test_Import_Scores_InDateRange_Test,SpecLatticeBinder,New
Q_Timestamp_PushToScoring_Bulk_ScoresInDateRange,SpecLatticeQuery,New
Q_Scores_ResetDownloadedLeads,SpecLatticeQuery,New
Scores_InDateRange_Ref_Import,SpecLatticeImportTable,New
Q_Summary_Scores_InDateRange,SpecLatticeQuery,New
Q_Get_Model_GUID_InDateRange,SpecLatticeQuery,New
ELQ_Contact_ContactID_ToBeScored_Incr,SpecLatticeFunction,Modified
Q_Scores_ResetMatchToPD,SpecLatticeQuery,New
